country,0
US,33057
GB,8774
IN,6307
CA,5752
IT,4216
ES,4149
BR,3812
FR,3121
AU,2727
MX,1881
AR,1597
RU,1080
ZA,986
ID,974
CO,773
TR,761
PH,585
MY,551
DE,550
IE,494
NZ,483
SG,333
PE,299
PK,246
CH,237
CL,236
BE,223
DO,180
JP,145
EC,129
NG,118
UY,97
CR,97
NL,96
GH,90
PA,87
TT,81
TH,80
KE,79
LB,77
PY,77
NP,77
LK,71
JM,62
GT,60
SV,57
PR,54
HN,52
MA,49
QA,46
MT,45
SE,43
BO,42
HK,38
SA,37
PT,37
ZW,36
UG,35
BY,34
MU,32
NA,31
VE,31
SN,31
ET,29
JO,29
AT,28
GR,28
IR,27
RE,27
BH,26
IM,24
CY,24
ZM,21
CD,21
EG,21
DZ,20
KW,19
BW,19
TN,19
IL,19
BB,18
BS,18
MQ,17
GP,17
CI,17
KG,16
NO,16
NI,16
PL,15
FI,15
AE,15
GU,15
CM,15
LU,14
MW,14
MD,13
CU,13
KR,13
BZ,13
CN,12
DK,12
LC,12
UA,12
AL,11
AO,11
AZ,11
TW,11
GE,11
OM,10
HT,10
BJ,10
LS,10
GY,9
BG,9
VN,8
EU,8
MV,8
GN,8
NC,8
AW,7
AM,7
PF,7
KH,6
IS,6
VC,6
ML,6
MM,6
GF,6
GM,6
SZ,5
YE,5
SL,5
RO,5
KY,5
BM,5
GA,5
LR,5
CZ,5
BF,5
BD,5
AD,4
KN,4
SY,4
TD,4
BT,4
FJ,4
SC,4
RW,4
TZ,4
GI,4
HU,4
SX,4
YT,4
KZ,4
AS,4
MN,4
MK,4
MZ,4
CG,3
EE,3
SD,3
MG,3
BA,3
RS,3
LV,3
GG,3
LT,3
HR,3
PW,3
AF,3
IQ,3
TG,3
CV,2
TC,2
UM,2
AG,2
AI,2
VI,2
BI,2
MR,2
JE,2
FM,2
MO,2
LA,2
PM,2
GD,2
SK,2
SO,2
MP,2
SM,2
TJ,1
DJ,1
ME,1
MC,1
LY,1
WS,1
AP,1
LI,1
VG,1
AQ,1
VA,1
TM,1
AX,1
PG,1
KP,1
SR,1
DM,1
BL,1
SB,1
SI,1
SS,1
